n.perfect
15
15
14
17
16
14
18
15
15
16
0
15
16
16
15
15
0
14
16
14
18
14
0
14
14
17
15
0
17
14
14
0
14
15
15
14
15
16
16
14
15
15
14
14
15
14
14
14
15
0
15
17
15
16
15
15
0
16
14
14
15
16
15
14
14
17
15
15
16
16
14
17
14
17
15
15
16
15
0
15
15
14
15
16
16
14
15
15
17
14
15
15
17
14
14
15
15
16
15
0
15
15
15
15
16
14
15
16
0
14
15
15
16
15
15
15
18
15
15
15
14
0
0
0
15
15
16
16
16
17
14
16
17
15
15
14
16
15
15
15
15
14
16
16
15
0
14
15
14
15
14
14
17
0
15
15
14
15
14
14
15
15
14
14
14
14
14
14
16
14
16
14
14
0
16
15
15
16
14
15
14
16
14
15
15
16
16
16
14
15
15
15
17
15
16
15
16
0
14
15
17
14
14
0
14
0
14
16
14
16
16
14
15
15
17
14
15
15
14
16
14
15
14
14
17
14
15
16
15
16
14
14
16
15
16
15
14
0
14
15
18
14
22
15
14
14
15
15
14
14
16
16
14
14
14
16
15
16
16
15
15
14
15
15
18
16
14
16
16
15
14
14
15
14
15
15
16
0
16
17
14
15
16
15
16
0
15
15
16
15
14
15
16
16
15
17
14
15
15
14
15
17
14
15
16
15
15
16
14
0
14
14
14
15
15
15
14
14
14
15
15
15
16
16
15
15
15
15
14
15
14
18
17
14
15
14
14
15
14
14
15
15
14
0
15
16
0
15
18
0
16
0
0
15
14
15
15
14
16
15
15
15
0
15
17
15
15
14
14
14
15
15
16
0
15
14
15
14
0
15
14
14
16
15
16
16
0
14
14
15
14
15
14
14
14
15
15
15
14
15
14
15
16
17
14
14
15
14
14
15
15
0
15
15
16
15
14
15
0
15
14
16
14
16
15
15
0
14
15
17
15
15
0
14
15
14
15
15
16
16
15
17
15
15
16
15
15
14
14
17
15
16
15
15
16
14
15
16
15
17
14
14
0
15
16
14
14
16
16
0
14
14
16
15
16
15
14
15
14
14
14
0
0
17
14
0
16
14
16
14
14
14
14
14
14
16
15
14
17
14
15
16
14
15
0
14
15
17
15
15
16
14
20
15
14
14
14
17
16
15
15
15
15
15
14
15
16
14
15
0
16
16
14
16
14
16
0
0
14
16
16
16
0
14
14
0
16
14
16
14
14
14
14
16
14
16
15
0
15
16
17
15
15
17
16
0
16
17
14
0
15
16
15
15
15
14
14
14
15
15
15
17
15
15
18
0
16
17
16
14
15
14
0
14
15
14
14
14
14
15
15
17
14
0
17
16
15
15
18
14
15
15
14
15
17
16
14
14
15
0
14
14
14
14
15
15
16
15
14
15
15
15
15
14
15
14
14
16
14
14
0
15
15
17
16
16
17
14
16
14
14
15
16
15
15
14
14
0
14
0
15
14
15
17
14
16
17
15
15
14
15
15
14
14
16
16
14
14
15
15
15
0
14
14
16
14
14
14
15
16
15
14
15
16
14
15
16
14
15
15
17
14
14
15
15
15
16
15
0
16
15
15
16
0
0
16
15
0
14
15
16
15
14
16
14
15
15
15
0
16
15
15
0
17
15
14
15
17
16
16
0
15
15
15
15
14
15
14
15
15
15
15
16
0
15
14
14
15
14
14
0
14
14
14
15
16
14
0
0
15
0
16
14
0
15
15
0
14
15
14
0
17
14
16
0
14
0
15
16
15
14
0
15
17
14
14
14
15
0
14
15
0
15
15
15
14
0
15
15
15
18
16
15
0
14
14
14
14
14
0
0
16
15
16
17
16
15
17
14
14
0
16
14
14
14
16
14
14
0
14
0
0
15
17
14
0
14
14
16
15
0
17
16
17
14
14
15
15
14
15
14
14
14
15
14
15
14
14
16
14
16
16
14
17
15
0
15
15
16
0
0
14
15
14
14
17
14
17
14
15
16
15
14
14
15
14
14
16
15
18
15
15
18
18
16
15
14
15
16
16
15
14
14
14
16
15
16
0
17
16
19
17
15
0
15
16
15
15
15
15
14
16
16
14
14
14
0
16
16
16
15
15
14
14
15
16
15
14
14
14
14
0
0
15
17
17
15
14
15
15
15
15
0
14
16
16
16
16
15
15
14
0
16
0
16
14
16
14
0
15
15
14
0
14
15
14
15
0
0
15
0
14
14
14
15
15
14
14
14
17
